2023-10-04 09:37:20.666 [TestNG-PoolService-0] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@247abfb5, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@18e15e6e, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@3c51c4e5, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7fb55641, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@e43d915, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1c43f49d, org.springframework.test.context.event.EventPublishingTestExecutionListener@2e877d1c, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7bd521d3, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6bced4cd, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@68aa3235, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7dd0cda1, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2fd9a071, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@322c61fb]
2023-10-04 09:37:20.748 [TestNG-PoolService-3] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 117.0.5938.92 (resolved driver for Chrome 117)
2023-10-04 09:37:20.960 [TestNG-PoolService-4] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 117.0.5938.92 (resolved driver for Chrome 117)
2023-10-04 09:37:20.963 [TestNG-PoolService-0] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 117.0.5938.92 (resolved driver for Chrome 117)
2023-10-04 09:37:20.972 [TestNG-PoolService-3] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\Patri\.cache\selenium\chromedriver\win64\117.0.5938.92\chromedriver.exe
2023-10-04 09:37:20.982 [TestNG-PoolService-4] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\Patri\.cache\selenium\chromedriver\win64\117.0.5938.92\chromedriver.exe
2023-10-04 09:37:20.993 [TestNG-PoolService-2] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 117.0.5938.92 (resolved driver for Chrome 117)
2023-10-04 09:37:20.993 [TestNG-PoolService-1] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 117.0.5938.92 (resolved driver for Chrome 117)
2023-10-04 09:37:20.995 [TestNG-PoolService-0] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\Patri\.cache\selenium\chromedriver\win64\117.0.5938.92\chromedriver.exe
2023-10-04 09:37:21.015 [TestNG-PoolService-1] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\Patri\.cache\selenium\chromedriver\win64\117.0.5938.92\chromedriver.exe
2023-10-04 09:37:21.125 [TestNG-PoolService-2] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\Patri\.cache\selenium\chromedriver\win64\117.0.5938.92\chromedriver.exe
2023-10-04 09:37:27.020 [TestNG-PoolService-4] WARN  o.o.s.devtools.CdpVersionFinder - Unable to find an exact match for CDP version 117, so returning the closest version found: 115
2023-10-04 09:37:27.131 [TestNG-PoolService-3] WARN  o.o.s.devtools.CdpVersionFinder - Unable to find an exact match for CDP version 117, so returning the closest version found: 115
2023-10-04 09:37:27.142 [TestNG-PoolService-7] WARN  o.o.s.devtools.CdpVersionFinder - Unable to find an exact match for CDP version 117, so returning the closest version found: 115
2023-10-04 09:37:27.285 [TestNG-PoolService-9] WARN  o.o.s.devtools.CdpVersionFinder - Unable to find an exact match for CDP version 117, so returning the closest version found: 115
2023-10-04 09:37:27.328 [TestNG-PoolService-6] WARN  o.o.s.devtools.CdpVersionFinder - Unable to find an exact match for CDP version 117, so returning the closest version found: 115
2023-10-04 09:37:27.338 [TestNG-PoolService-5] WARN  o.o.s.devtools.CdpVersionFinder - Unable to find an exact match for CDP version 117, so returning the closest version found: 115
2023-10-04 09:37:27.388 [TestNG-PoolService-1] WARN  o.o.s.devtools.CdpVersionFinder - Unable to find an exact match for CDP version 117, so returning the closest version found: 115
2023-10-04 09:37:27.469 [TestNG-PoolService-2] WARN  o.o.s.devtools.CdpVersionFinder - Unable to find an exact match for CDP version 117, so returning the closest version found: 115
2023-10-04 09:37:27.719 [TestNG-PoolService-0] WARN  o.o.s.devtools.CdpVersionFinder - Unable to find an exact match for CDP version 117, so returning the closest version found: 115
2023-10-04 09:37:31.233 [TestNG-PoolService-8] WARN  o.o.s.devtools.CdpVersionFinder - Unable to find an exact match for CDP version 117, so returning the closest version found: 115
2023-10-04 09:37:31.354 [TestNG-PoolService-7] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.opus.steps.CucumberSpringConfiguration], using SpringBootContextLoader
2023-10-04 09:37:31.356 [TestNG-PoolService-7] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.opus.steps.CucumberSpringConfiguration]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-10-04 09:37:31.357 [TestNG-PoolService-7] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.opus.steps.CucumberSpringConfiguration]: CucumberSpringConfiguration does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-10-04 09:37:31.362 [TestNG-PoolService-7] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.opus.Application for test class com.opus.steps.CucumberSpringConfiguration
2023-10-04 09:37:31.367 [TestNG-PoolService-7] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2023-10-04 09:37:31.370 [TestNG-PoolService-7] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4044cebf, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1ebe8405, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@70e7ea3e, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2c2bc423, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4afcd62f, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2088edd9, org.springframework.test.context.event.EventPublishingTestExecutionListener@6ff155ec, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1d098eed, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@31e87ecd, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@56e9bb0c, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3352ca08, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@62fd5469, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@109140ed]
